user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
60,2,17,4,3,95,79,0.53,2,0,1,1
61,0,25,6,2,262,23,0.17,2,0,1,0
62,2,49,5,3,169,26,0.56,1,0,1,0
63,2,59,4,1,25,32,0.2,1,38,0,0
64,0,45,1,0,55,67,0.51,1,0,1,1
65,1,45,4,3,161,42,0.4,0,0,1,1
66,2,21,3,0,77,42,0.56,2,0,1,0
67,1,45,2,1,152,32,0.49,1,14,0,1
68,0,45,6,1,156,51,0.14,0,18,0,0
69,2,22,0,3,99,43,0.17,0,0,1,0
70,0,56,7,1,181,40,0.21,1,10,0,0
71,2,51,0,3,265,81,0.36,2,0,1,0
72,0,22,0,0,131,70,0.35,2,0,1,0
73,2,33,1,3,19,68,0.32,0,0,1,1
74,2,59,0,0,201,15,0.05,1,0,1,0
75,1,41,2,0,223,53,0.33,2,0,1,0
76,1,25,6,2,111,83,0.19,0,0,1,0
77,1,41,3,0,81,6,0.47,1,0,1,0
78,2,30,3,0,124,73,0.43,1,0,1,0
79,1,23,7,1,13,30,0.24,1,32,0,0
80,0,47,5,2,31,72,0.53,0,0,1,1
81,1,34,0,2,277,87,0.3,2,0,1,0
82,2,45,3,3,181,69,0.59,2,0,1,0
83,2,32,5,1,167,4,0.56,1,35,0,0
84,2,51,1,1,105,11,0.03,2,29,0,0
85,2,21,3,3,202,79,0.45,0,0,1,0
86,0,20,4,0,284,38,0.23,2,0,1,0
87,1,21,7,2,125,82,0.43,2,0,1,0
88,0,44,6,1,237,36,0.37,2,20,0,0
89,2,50,5,0,99,15,0.15,1,0,1,0
90,2,52,2,3,224,49,0.38,0,0,1,0
91,1,43,6,1,195,80,0.17,2,28,0,0
92,0,41,5,2,173,85,0.22,2,0,1,0
93,0,57,4,0,210,7,0.25,2,0,1,0
94,2,50,6,1,85,7,0.45,0,44,0,0
95,0,35,3,0,93,1,0.4,1,0,1,0
96,2,51,4,3,222,97,0.03,0,0,1,1
97,1,34,1,2,196,69,0.07,2,0,1,0
98,0,47,7,0,215,13,0.02,1,0,1,1
99,1,19,5,0,22,45,0.29,2,0,1,1
100,0,30,6,3,283,13,0.02,0,0,1,0
101,0,27,3,1,40,15,0.5,2,16,0,0
102,1,25,2,3,251,91,0.12,0,0,1,0
103,0,47,0,0,240,61,0.56,1,0,1,0
104,1,33,7,0,160,76,0.06,2,0,1,0
105,1,46,1,1,114,11,0.24,2,19,0,0
106,2,50,0,3,251,9,0.39,2,0,1,0
107,1,31,3,3,181,89,0.11,0,0,1,1
108,0,45,3,2,215,16,0.26,2,0,1,0
109,1,51,3,3,119,11,0.05,0,0,1,0
110,2,33,1,2,224,34,0.11,1,0,1,0
111,1,42,2,2,31,61,0.29,1,0,1,0
112,1,16,1,0,17,10,0.27,0,0,1,0
113,2,31,3,3,174,29,0.13,0,0,1,1
114,1,40,0,0,31,48,0.33,2,0,1,0
115,1,57,3,3,84,40,0.58,0,0,1,0
116,0,17,1,1,198,31,0.07,2,6,0,0
117,1,31,1,3,272,40,0.12,0,0,1,1
118,2,45,6,0,21,73,0.16,2,0,1,0
119,1,59,5,0,251,47,0.14,1,0,1,0
120,2,49,5,0,95,81,0.36,1,0,1,0
121,1,59,4,3,169,20,0.18,0,0,1,1
122,1,47,2,2,35,20,0.32,0,0,1,1
123,1,21,7,1,32,34,0.52,2,14,0,1
124,0,28,2,1,55,67,0.53,0,7,0,0
125,0,47,7,0,120,26,0.48,0,0,1,0
126,0,46,4,1,11,67,0.4,0,36,0,1
127,0,20,7,2,194,52,0.2,1,0,1,0
128,0,34,5,2,81,85,0.29,2,0,1,0
129,2,24,2,1,217,52,0.45,2,23,0,0
130,1,40,7,2,11,11,0.42,2,0,1,1
131,1,48,6,1,72,35,0.53,0,22,0,0
132,2,47,5,2,162,94,0.29,0,0,1,0
133,0,33,4,0,271,57,0.36,1,0,1,1
134,1,20,7,2,218,6,0.02,0,0,1,1
135,2,55,2,0,94,24,0.3,2,0,1,0
136,1,58,1,3,295,72,0.43,0,0,1,0
137,2,41,7,2,286,35,0.42,0,0,1,0
138,2,53,7,3,298,37,0.5,1,0,1,0
139,0,50,1,0,261,20,0.39,0,0,1,1
140,2,55,7,1,201,82,0.5,0,27,0,1
141,0,56,7,1,40,84,0.56,2,49,0,0
142,2,18,0,2,30,78,0.42,1,0,1,0
143,1,29,1,3,109,88,0.45,2,0,1,1
144,0,28,6,2,171,19,0.48,1,0,1,1
145,1,24,5,0,223,31,0.09,1,0,1,0
146,2,44,0,0,52,17,0.2,0,0,1,0
147,2,18,4,0,195,94,0.49,0,0,1,0
148,2,40,5,2,198,78,0.0,0,0,1,0
149,2,22,2,3,285,2,0.3,0,0,1,0
150,1,34,3,2,278,83,0.24,0,0,1,0
151,1,44,0,2,251,57,0.37,0,0,1,0
152,1,58,7,3,158,52,0.27,1,0,1,0
153,0,41,5,0,14,41,0.59,2,0,1,0
154,0,52,6,2,280,81,0.27,0,0,1,1
155,1,26,4,3,257,14,0.13,2,0,1,0
156,2,42,1,0,21,76,0.56,2,0,1,1
157,2,27,5,1,237,27,0.16,2,40,0,0
158,2,48,2,1,224,53,0.07,1,43,0,0
159,2,24,0,0,216,76,0.28,1,0,1,0
160,2,34,1,2,137,97,0.32,2,0,1,0
161,2,28,2,1,209,84,0.53,2,28,0,0
162,0,17,3,1,36,30,0.19,1,43,0,1
163,2,50,5,1,95,50,0.49,0,31,0,1
164,0,35,0,2,298,25,0.11,1,0,1,1
165,1,20,2,0,224,51,0.23,0,0,1,1
166,0,50,5,1,205,43,0.48,0,47,0,0
167,1,23,3,3,95,31,0.37,2,0,1,0
168,2,20,6,1,289,17,0.28,0,35,0,0
169,1,51,1,2,168,28,0.54,2,0,1,0
170,0,18,5,1,211,48,0.48,1,23,0,1
171,1,29,2,2,63,99,0.38,1,0,1,0
172,1,39,2,1,124,83,0.52,1,35,0,0
173,2,51,1,0,275,56,0.05,2,0,1,0
174,1,24,5,3,120,38,0.11,1,0,1,0
175,1,20,2,1,64,20,0.16,1,20,0,1
176,0,57,6,2,121,86,0.08,2,0,1,1
177,2,16,0,1,184,12,0.2,0,15,0,0
178,1,18,5,0,219,54,0.06,2,0,1,0
179,1,16,2,1,184,40,0.01,1,9,0,0
180,0,50,6,0,30,37,0.25,0,0,1,1
181,1,23,2,1,55,46,0.41,0,7,0,0
182,0,53,0,2,38,4,0.09,1,0,1,0
183,1,58,1,2,281,58,0.16,0,0,1,0
184,0,31,2,2,140,57,0.35,1,0,1,1
185,0,19,7,3,130,17,0.35,0,0,1,0
186,0,36,7,3,238,82,0.35,2,0,1,1
187,2,19,5,2,295,53,0.55,2,0,1,1
188,2,26,4,1,265,31,0.41,2,38,0,0
189,2,16,7,3,179,80,0.6,0,0,1,0
190,2,49,0,1,198,4,0.1,0,36,0,0
191,0,55,6,2,180,17,0.08,2,0,1,0
192,2,21,2,3,267,89,0.52,2,0,1,0
193,2,48,1,1,126,22,0.58,1,45,0,0
194,0,38,4,0,233,94,0.29,2,0,1,1
195,1,59,5,3,161,95,0.59,0,0,1,1
196,0,31,1,3,100,70,0.43,1,0,1,0
197,0,24,7,3,240,45,0.53,2,0,1,1
198,1,55,6,3,170,95,0.45,1,0,1,0
199,1,53,6,0,150,29,0.18,0,0,1,0
200,2,31,7,0,203,79,0.15,2,0,1,0
201,0,49,0,1,226,31,0.24,0,32,0,0
202,2,49,6,2,31,93,0.03,0,0,1,0
203,0,33,2,2,81,34,0.09,1,0,1,0
204,2,59,5,1,62,99,0.55,1,5,0,0
205,0,58,0,1,202,22,0.45,1,36,0,0
206,2,49,5,1,207,33,0.09,2,9,0,1
207,1,42,2,3,20,38,0.6,2,0,1,0
208,2,24,0,1,113,42,0.56,0,32,0,1
209,1,33,4,1,168,42,0.12,0,49,0,0
210,2,20,4,3,251,79,0.37,2,0,1,0
211,2,42,4,1,222,95,0.04,0,29,0,0
212,0,16,2,1,74,33,0.12,1,13,0,0
213,1,37,1,2,139,71,0.16,0,0,1,0
214,0,26,3,1,160,23,0.06,2,45,0,0
215,2,46,7,2,37,94,0.37,2,0,1,0
216,1,36,7,0,199,4,0.12,0,0,1,0
217,2,32,3,1,204,87,0.42,0,14,0,0
218,2,18,4,0,181,67,0.56,0,0,1,1
219,2,20,2,2,269,4,0.31,2,0,1,0
220,0,19,4,1,245,9,0.07,1,42,0,0
221,2,34,1,3,50,54,0.59,2,0,1,0
222,2,50,2,3,272,46,0.12,2,0,1,0
223,2,36,3,0,271,26,0.5,2,0,1,0
224,2,53,2,3,252,68,0.04,2,0,1,1
225,0,31,5,3,155,2,0.36,0,0,1,1
226,0,40,3,1,66,80,0.02,1,48,0,1
227,0,41,1,3,51,26,0.19,2,0,1,0
228,1,27,6,1,174,6,0.54,1,7,0,0
229,2,52,2,3,165,20,0.01,0,0,1,1
230,2,49,0,2,73,39,0.11,1,0,1,0
231,1,51,2,3,10,11,0.09,2,0,1,0
232,0,19,3,2,279,26,0.03,2,0,1,0
233,1,41,6,1,222,4,0.06,1,26,0,1
234,1,49,2,2,39,6,0.54,2,0,1,0
235,1,17,3,2,40,97,0.08,1,0,1,1
236,0,22,6,2,254,86,0.45,0,0,1,1
237,1,31,6,0,227,23,0.55,1,0,1,1
238,0,19,3,2,244,5,0.34,2,0,1,0
239,0,37,1,1,113,85,0.23,1,27,0,1
240,0,43,6,1,218,6,0.01,1,15,0,1
241,1,29,6,1,144,94,0.33,0,19,0,0
242,0,51,1,2,143,48,0.09,2,0,1,0
243,1,41,1,2,110,61,0.44,1,0,1,0
244,2,24,3,0,283,90,0.53,2,0,1,0
245,2,19,5,2,276,15,0.28,1,0,1,0
246,1,48,4,2,178,70,0.29,0,0,1,0
247,2,37,7,2,114,13,0.49,0,0,1,0
248,0,59,7,1,98,24,0.32,1,8,0,0
249,0,54,4,0,49,27,0.29,1,0,1,0
250,0,36,0,2,28,39,0.27,2,0,1,0
251,2,58,3,2,259,67,0.17,1,0,1,0
252,2,20,1,1,279,84,0.43,0,24,0,0
253,2,18,0,2,139,58,0.09,2,0,1,1
254,0,35,2,1,53,97,0.45,0,29,0,0
255,1,57,6,0,255,82,0.19,1,0,1,0
256,2,55,1,2,259,20,0.01,1,0,1,0
257,2,53,5,1,112,33,0.34,1,30,0,0
258,2,22,7,2,260,75,0.36,2,0,1,0
259,2,51,4,2,91,3,0.49,0,0,1,0
260,0,43,5,1,92,18,0.19,1,25,0,0
261,2,37,0,1,140,14,0.02,1,31,0,0
262,1,29,7,2,259,28,0.19,0,0,1,1
263,1,17,6,3,119,73,0.22,0,0,1,0
264,1,36,4,3,99,92,0.54,2,0,1,1
265,1,53,0,1,265,49,0.2,0,41,0,1
266,0,54,4,2,299,93,0.27,1,0,1,1
267,0,59,0,1,255,75,0.56,2,38,0,0
268,2,42,2,0,157,96,0.48,2,0,1,1
269,2,36,0,0,176,15,0.11,1,0,1,0
270,0,22,0,3,146,45,0.44,1,0,1,0
271,1,19,2,0,211,64,0.15,1,0,1,0
272,1,47,4,2,191,42,0.52,1,0,1,1
273,1,29,1,2,218,72,0.29,1,0,1,0
274,2,32,1,0,128,94,0.48,2,0,1,0
275,2,47,7,1,30,10,0.38,2,37,0,0
276,1,30,2,0,176,17,0.35,1,0,1,0
277,1,23,6,2,50,45,0.08,1,0,1,0
278,2,37,3,1,267,72,0.12,0,38,0,0
279,2,17,5,3,20,84,0.45,2,0,1,0
280,0,45,7,0,134,92,0.31,1,0,1,0
281,0,42,0,3,282,57,0.31,1,0,1,0
282,1,42,7,2,52,55,0.05,2,0,1,1
283,2,31,0,2,97,37,0.59,2,0,1,0
284,0,53,4,1,58,63,0.45,1,45,0,0
285,2,47,0,2,126,71,0.29,0,0,1,1
286,0,40,3,2,172,48,0.54,2,0,1,0
287,0,35,5,1,258,36,0.2,0,24,0,1
288,0,33,4,1,291,31,0.29,0,39,0,0
289,2,44,2,1,27,96,0.04,0,27,0,1
290,2,41,6,0,262,32,0.47,0,0,1,0
291,1,32,2,2,52,52,0.47,0,0,1,1
292,2,20,1,3,108,26,0.17,2,0,1,0
293,1,51,7,2,235,5,0.28,0,0,1,0
294,0,25,7,3,213,36,0.28,2,0,1,0
295,2,32,5,2,169,6,0.13,2,0,1,1
296,0,34,2,3,158,84,0.1,1,0,1,1
297,1,34,2,2,293,30,0.16,0,0,1,0
298,1,45,2,2,99,84,0.58,2,0,1,1
299,0,45,7,3,194,40,0.59,0,0,1,0
300,2,50,7,2,126,86,0.52,1,0,1,0
301,0,45,6,0,102,18,0.08,1,0,1,0
302,0,55,5,1,210,32,0.15,2,29,0,1
303,0,32,7,1,134,71,0.43,1,14,0,0
304,1,48,6,2,62,25,0.53,2,0,1,0
305,2,36,7,2,183,29,0.53,2,0,1,0
306,2,39,2,2,279,97,0.36,1,0,1,0
307,2,59,1,2,159,48,0.21,1,0,1,1
308,1,23,7,2,187,22,0.14,0,0,1,1
309,2,41,6,0,57,3,0.41,1,0,1,0
310,0,31,3,0,133,88,0.07,0,0,1,0
311,1,48,4,3,168,78,0.41,0,0,1,0
312,0,21,0,0,251,47,0.55,1,0,1,0
313,2,18,0,0,71,18,0.0,2,0,1,0
314,0,25,3,3,178,84,0.32,0,0,1,0
315,1,56,4,3,206,64,0.1,1,0,1,1
316,1,34,3,1,36,12,0.22,1,44,0,0
317,2,25,1,0,122,69,0.09,2,0,1,0
318,1,24,5,2,158,51,0.26,2,0,1,0
319,2,41,3,3,223,79,0.05,1,0,1,0
320,1,38,4,3,251,65,0.44,0,0,1,0
321,2,19,7,0,294,5,0.44,2,0,1,0
322,2,25,4,3,12,2,0.34,2,0,1,1
323,1,55,4,0,218,58,0.36,0,0,1,0
324,1,17,6,1,49,26,0.54,0,12,0,0
325,0,50,3,3,66,13,0.58,1,0,1,1
326,2,39,2,1,295,20,0.09,1,21,0,1
327,1,26,0,3,131,98,0.24,0,0,1,0
328,2,34,6,1,203,10,0.1,0,42,0,0
329,0,32,1,2,201,38,0.44,2,0,1,0
330,0,40,1,3,59,35,0.37,0,0,1,0
331,1,32,7,0,119,39,0.45,2,0,1,0
332,0,51,1,2,219,96,0.51,2,0,1,1
333,1,46,1,0,152,83,0.58,1,0,1,0
334,0,51,1,2,157,9,0.57,2,0,1,0
335,0,38,1,1,89,59,0.15,1,21,0,0
336,0,54,3,0,63,68,0.21,1,0,1,0
337,1,59,6,2,93,36,0.39,0,0,1,0
338,2,41,0,3,97,78,0.02,2,0,1,0
339,2,34,4,2,289,79,0.09,0,0,1,0
340,0,55,4,0,291,39,0.3,1,0,1,1
341,0,34,6,0,291,70,0.22,0,0,1,0
342,0,20,6,3,218,76,0.58,2,0,1,1
343,0,20,1,2,56,55,0.18,2,0,1,0
344,1,32,4,3,157,12,0.48,2,0,1,1
345,0,37,2,3,171,65,0.52,2,0,1,1
346,2,50,1,0,16,64,0.05,2,0,1,0
347,0,21,2,0,207,21,0.18,2,0,1,1
348,1,48,7,2,123,37,0.27,2,0,1,0
349,1,46,4,2,55,48,0.47,2,0,1,1
350,2,44,0,1,49,43,0.25,0,5,0,0
351,0,55,5,1,62,57,0.58,2,7,0,0
352,0,57,0,3,85,32,0.0,0,0,1,0
353,2,41,1,0,78,33,0.04,0,0,1,0
354,1,50,1,1,107,7,0.42,0,27,0,1
355,2,32,3,1,202,29,0.14,2,41,0,0
356,1,51,5,0,211,25,0.51,1,0,1,0
357,0,26,3,1,73,27,0.19,2,26,0,1
358,1,22,5,2,229,70,0.02,0,0,1,0
359,2,19,6,1,164,21,0.53,0,8,0,0
360,0,49,2,0,61,33,0.48,0,0,1,1
361,1,56,4,1,164,66,0.3,0,34,0,0
362,2,39,5,1,232,2,0.14,1,27,0,0
363,2,57,5,3,146,98,0.06,1,0,1,1
364,2,18,0,2,42,27,0.22,2,0,1,1
365,1,43,1,1,265,89,0.56,0,28,0,0
366,0,32,7,0,275,47,0.59,1,0,1,1
367,2,33,7,3,295,1,0.03,0,0,1,1
368,2,16,4,1,269,13,0.54,0,40,0,0
369,2,50,3,0,224,18,0.09,0,0,1,0
370,0,42,5,1,51,60,0.22,0,17,0,0
371,2,49,6,0,100,49,0.37,0,0,1,1
372,0,35,3,2,267,63,0.6,2,0,1,0
373,2,54,4,1,102,35,0.06,1,40,0,0
374,1,44,5,1,84,64,0.57,2,23,0,1
375,0,21,3,1,289,92,0.2,1,27,0,1
376,1,44,3,0,173,30,0.38,0,0,1,0
377,1,46,0,0,42,77,0.34,2,0,1,0
378,2,53,0,0,261,76,0.41,0,0,1,0
379,2,39,7,1,163,2,0.03,2,38,0,1
380,2,26,0,3,175,9,0.37,2,0,1,0
381,0,35,2,3,259,96,0.48,1,0,1,1
382,2,51,5,2,103,58,0.06,1,0,1,0
383,2,55,2,0,148,52,0.43,0,0,1,0
384,0,45,5,2,50,19,0.02,1,0,1,0
385,0,53,5,0,187,27,0.11,0,0,1,1
386,0,16,2,3,57,48,0.52,2,0,1,0
387,1,32,3,1,51,70,0.38,2,19,0,0
388,2,26,3,1,146,4,0.59,1,16,0,0
389,0,48,6,1,210,60,0.05,0,42,0,1
390,2,59,6,0,58,55,0.25,2,0,1,0
391,0,42,4,0,124,11,0.16,1,0,1,0
392,0,40,4,3,273,80,0.26,1,0,1,1
393,0,53,5,1,49,74,0.47,1,19,0,0
394,0,38,7,3,119,73,0.11,2,0,1,0
395,0,58,1,3,225,10,0.08,2,0,1,0
396,2,24,7,1,203,75,0.26,0,27,0,0
397,2,36,2,0,21,11,0.28,2,0,1,0
398,0,53,6,3,120,66,0.25,1,0,1,1
399,1,21,0,3,59,34,0.11,2,0,1,0
400,1,43,3,0,272,5,0.24,0,0,1,0
401,0,26,7,2,228,24,0.12,1,0,1,0
402,1,23,2,3,131,23,0.32,0,0,1,0
403,0,40,5,3,103,39,0.08,2,0,1,1
404,0,37,1,1,152,87,0.57,0,23,0,0
405,1,33,5,0,261,18,0.28,0,0,1,1
406,2,26,7,0,276,46,0.2,1,0,1,1
407,2,43,0,0,58,22,0.37,0,0,1,0
408,2,46,1,2,118,98,0.53,2,0,1,0
409,1,23,0,1,256,83,0.17,1,29,0,0
410,0,30,1,1,84,22,0.25,1,5,0,0
411,0,32,0,2,51,8,0.29,0,0,1,0
412,0,29,0,1,107,23,0.52,2,17,0,1
413,2,19,7,1,289,61,0.31,0,18,0,0
414,1,19,0,2,264,89,0.35,2,0,1,0
415,1,24,3,2,227,97,0.03,2,0,1,0
416,2,16,6,1,97,86,0.15,0,26,0,0
417,1,44,1,2,168,40,0.56,1,0,1,1
418,1,42,6,2,23,66,0.49,0,0,1,0
419,0,55,3,2,271,98,0.5,0,0,1,1
420,2,38,6,2,104,59,0.01,2,0,1,1
421,1,30,0,1,251,59,0.11,0,28,0,0
422,0,20,1,3,105,75,0.25,0,0,1,0
423,0,40,0,3,281,77,0.38,2,0,1,0
424,0,58,3,1,93,50,0.18,1,39,0,0
425,2,20,0,0,146,74,0.33,2,0,1,0
426,1,43,2,2,170,73,0.48,0,0,1,0
427,2,37,7,2,40,91,0.57,1,0,1,0
428,2,48,4,3,171,31,0.4,0,0,1,0
429,2,53,5,0,36,67,0.21,1,0,1,0
430,2,25,1,1,274,57,0.05,2,38,0,0
431,0,51,1,0,79,71,0.11,0,0,1,0
432,2,42,6,0,91,81,0.52,1,0,1,0
433,2,50,5,2,69,20,0.13,1,0,1,1
434,2,56,3,0,14,93,0.07,0,0,1,1
435,0,47,7,2,55,7,0.54,2,0,1,0
436,1,41,7,1,88,34,0.3,2,48,0,0
437,1,20,4,2,236,78,0.35,1,0,1,0
438,1,57,4,1,214,85,0.58,0,17,0,0
439,2,35,2,1,172,5,0.05,0,27,0,0
440,1,40,5,0,163,11,0.3,1,0,1,0
441,0,46,4,2,123,9,0.27,0,0,1,0
442,1,48,7,1,251,28,0.49,2,46,0,0
443,2,49,6,1,191,92,0.49,2,29,0,0
444,1,44,0,0,35,14,0.44,2,0,1,0
445,2,47,0,3,250,86,0.0,1,0,1,1
446,2,46,5,3,247,67,0.32,0,0,1,1
447,2,44,3,2,18,51,0.38,2,0,1,1
448,1,52,4,3,296,35,0.22,2,0,1,0
449,2,37,3,1,25,62,0.47,1,14,0,0
450,1,41,7,2,166,86,0.03,0,0,1,0
451,0,55,2,3,98,17,0.17,0,0,1,1
452,0,28,2,3,288,86,0.16,1,0,1,1
453,1,40,7,2,10,54,0.5,2,0,1,0
454,1,19,4,2,188,15,0.27,0,0,1,0
455,1,53,1,1,65,55,0.56,0,33,0,0
456,2,20,3,0,210,82,0.51,2,0,1,0
457,0,18,6,3,128,28,0.33,1,0,1,1
458,0,25,7,0,72,32,0.32,0,0,1,1
459,1,26,6,3,150,40,0.06,0,0,1,0
460,1,24,5,3,57,35,0.48,2,0,1,0
461,0,41,5,3,199,12,0.4,2,0,1,1
462,1,21,1,3,211,96,0.57,0,0,1,0
463,0,30,1,0,115,68,0.49,0,0,1,0
464,1,37,0,1,260,30,0.51,2,37,0,0
465,1,39,2,1,110,17,0.58,0,24,0,0
466,0,53,5,1,224,11,0.11,1,12,0,0
467,0,39,4,0,63,96,0.32,1,0,1,0
468,1,48,3,0,40,62,0.01,1,0,1,0
469,2,41,1,3,163,45,0.47,2,0,1,1
470,2,52,2,1,211,48,0.47,0,27,0,0
471,1,51,1,2,72,82,0.44,2,0,1,0
472,1,20,7,2,16,82,0.09,2,0,1,0
473,2,58,2,2,205,11,0.47,1,0,1,0
474,2,22,6,2,290,17,0.43,1,0,1,0
475,2,33,4,3,86,30,0.55,2,0,1,0
476,0,35,2,1,34,1,0.45,0,30,0,1
477,0,21,4,2,192,95,0.3,0,0,1,0
478,1,31,5,2,65,7,0.04,0,0,1,0
479,2,54,3,1,225,60,0.19,1,17,0,1
480,0,49,6,1,266,2,0.46,0,16,0,1
481,2,44,2,2,196,36,0.42,2,0,1,0
482,2,51,6,1,294,73,0.28,1,15,0,0
483,0,56,2,0,38,82,0.31,0,0,1,1
484,0,33,1,3,123,23,0.31,0,0,1,0
485,1,42,7,2,102,95,0.14,2,0,1,0
486,0,19,6,2,43,30,0.32,0,0,1,0
487,1,16,2,3,112,81,0.07,1,0,1,1
488,1,29,0,3,150,27,0.1,0,0,1,0
489,1,43,0,2,28,41,0.17,2,0,1,0
490,2,42,2,3,256,12,0.51,1,0,1,1
491,2,38,7,2,205,38,0.38,2,0,1,0
492,1,20,7,3,174,85,0.5,2,0,1,0
493,1,23,0,3,181,89,0.29,1,0,1,1
494,0,51,3,3,299,71,0.58,0,0,1,1
495,1,17,2,3,292,27,0.17,1,0,1,0
496,2,17,5,2,141,15,0.45,2,0,1,0
497,0,37,4,0,184,14,0.59,1,0,1,0
498,1,55,1,3,118,13,0.42,0,0,1,0
499,0,48,3,2,164,70,0.15,1,0,1,0
500,2,38,4,1,283,69,0.01,0,35,0,0
501,2,55,4,3,47,24,0.59,1,0,1,0
502,0,23,0,3,101,88,0.45,2,0,1,1
503,2,49,7,1,270,92,0.38,2,26,0,0
504,2,38,6,1,208,18,0.38,0,46,0,0
505,2,40,1,3,172,21,0.36,0,0,1,0
506,1,31,3,2,236,11,0.13,2,0,1,0
507,1,36,2,2,265,25,0.19,2,0,1,0
508,0,57,0,1,54,65,0.01,1,35,0,1
509,2,48,3,0,191,78,0.32,1,0,1,0
510,1,21,7,0,251,94,0.12,0,0,1,0
511,2,21,2,2,260,97,0.25,0,0,1,0
512,0,23,3,2,213,64,0.34,2,0,1,1
513,2,28,2,0,152,11,0.15,2,0,1,0
514,0,53,3,1,226,99,0.05,0,49,0,0
515,0,20,1,1,115,28,0.09,0,29,0,0
516,0,43,5,1,55,64,0.07,2,46,0,1
517,2,25,7,0,123,18,0.56,1,0,1,0
518,2,56,7,1,110,42,0.4,0,16,0,1
519,1,21,0,2,164,90,0.55,0,0,1,0
520,2,24,2,2,185,77,0.54,0,0,1,0
521,1,38,2,2,262,5,0.31,1,0,1,0
522,2,20,1,2,230,32,0.04,0,0,1,0
523,1,28,4,3,17,64,0.42,2,0,1,1
524,1,58,2,3,274,18,0.03,0,0,1,0
525,1,47,1,0,75,19,0.28,1,0,1,0
526,0,24,7,1,250,81,0.27,0,16,0,0
527,2,20,7,2,35,61,0.33,2,0,1,0
528,2,41,2,2,33,1,0.08,2,0,1,1
529,1,35,5,1,270,39,0.29,2,30,0,0
530,0,21,5,3,192,52,0.46,2,0,1,1
531,2,17,0,0,195,60,0.26,0,0,1,0
532,2,49,3,0,288,46,0.05,2,0,1,0
533,1,35,7,3,155,84,0.21,2,0,1,1
